"ObjGeographyID","ObjectID","GeoCodeID","Continent","SubContinent","Country","Region","River","State","County","City","Locale","Building","Excavation","Locus","Notes","LoginID","EnteredDate","Township","PoliticalRegion","Nation","RegionalCorp","VillageCorporation","CulturalRegion","Longitude","Latitude","UTM","Easting","Northing","Elevation","MapReferenceNumber","SubRegion","Lot","Concession","PrimaryDisplay","KeyFieldsSearchValue","GSRowVersion"
"38706","37961","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AEC5"
"38713","37962","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AEC6"
"38692","38163","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538B010"
"38694","38164","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538B011"
"38709","38165","1",,,"USA",,,"North Carolina",,"Shelton Laurel",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Shelton Laurel 0.000 0.000","0x000000000538B012"
"38711","38166","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538B013"
"39465","38822","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538B416"
"39464","38845","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538B435"
"39466","38890","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538B47B"
"39463","38909","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538B495"
